text,embedding,distances
" – The USGS Prompt Assessment of Global Earthquakes for Response (PAGER) service estimated a 35 percent probability of economic losses between US$10 billion and US$100 billion. There was a 34 percent probability of economic losses exceeding US$100 billion. The service estimated a 36 percent probability of deaths between 10,000 and 100,000; 26 percent probability of deaths exceeding 100,000. For the second large earthquake, there was a 46 percent probability of deaths between 1,000 and 10,000; 30 percent probability of deaths between 100 and 1,000. The service also estimated a 35 percent percent probability of economic losses between US$1 billion and US$10 billion; 27 percent probability of economic losses between US$10 billion and US$100 billion.Risklayer estimated a death toll of between 23,284 and 105,671. According to geophysics professor, Övgün Ahmet Ercan, ""180,000 people or more may be trapped under the rubble, nearly all of them dead."" On 11 February, when the death toll was reported at about 28,000, United Nations emergency relief coordinator Martin Griffiths said the death toll was expected to ""more than double"". The World Health Organization said up to 26 million people may have been affected; 15 million in Turkey and 11 million in Syria.Shortly after the earthquakes the Turkish lira value struck a record low of 18.85 against the US dollar, but rebounded to its starting position at the end of the day. Turkish stock markets fell; main equities benchmark fell as much as 5 percent and banks fell 5.5 percent but recovered from the losses. The country's main stock market dropped 1.35 percent on 6 February. The Borsa Istanbul fell 8.6 percent on 7 February, and declined by more than 7 percent on the morning of 8 February before trading was suspended; the exchange then announced it would close for five days. Total costs of the earthquake damage in Turkey was estimated by the TÜRKONFED organization to be $84.1 billion US dollars; $70.75 billion on rebuilding, $10.4 billion loss in national income, and an additional $2.91 billion loss in workforce. Turkish president Recep Tayyip Erdogan said rebuilding would cost $105 billion. The European Bank for Reconstruction and Development said potential losses of up to 1 percent of Turkey's GDP in 2023 could result. About half of residential property in the affected area is thought to be covered by Compulsory Earthquake Insurance. The United Nations Development Programme estimated between 116 million and 210 million tons of debris must be cleared in Turkey.In Syria, the World Bank estimated $5.1 billion worth of damages, excluding economic impact and losses. Nearly half that cost was direct damage to residential buildings and 18 percent on infrastructure. Aleppo Governate, the worst-affected governate, accounted for 45 percent of the damage cost (equivalent to about $2.3 billion), followed by Idlib and Lattakia governates. The amount of destroyed or damaged capital stock is about 10 percent of Syria's GDP. The World Bank also said that the reconstruction in Syria costs about $9.1 billion, additionally the economy may contract by as high as 5.5 percent on 2023.","[-0.00432603 -0.01851013  0.00572513 ... -0.00218165 -0.01720928
 -0.02557001]",0.08699767701594396
" – There was widespread damage in an area of about 350,000 km2 (140,000 sq mi) (about the size of Germany). An estimated 14 million people, or 16 percent of Turkey's population, were affected. Development experts from the United Nations estimated that about 1.5 million people were left homeless.As of 20 March 2023, more than 57,300 deaths were confirmed: more than 50,000 in Turkey, and more than 7,200 in Syria. It is the deadliest earthquake in what is present day Turkey since the 526 Antioch earthquake, making it the deadliest natural disaster in its modern history. It is also the deadliest in what is present day Syria since the 1822 Aleppo earthquake; the deadliest worldwide since the 2010 Haiti earthquake; and the fifth-deadliest of the 21st century. Damages were estimated to be US$104 billion in Turkey and US$5.1 billion in Syria, making them the fourth-costliest earthquakes on record.","[-0.00231275 -0.02046131 -0.00931673 ...  0.00764012 -0.01170345
 -0.02459039]",0.08991974328312491
" – On 6 February 2023, at 04:17 TRT (01:17 UTC), a Mw 7.8 earthquake struck southern and central Turkey and northern and western Syria. The epicenter was 37 km (23 mi) west–northwest of Gaziantep. The earthquake had a maximum Mercalli intensity of XII (Extreme) in parts of Antakya in Hatay Province. It was followed by a Mw 7.7 earthquake at 13:24. This earthquake was centered 95 km (59 mi) north-northeast from the first. There was widespread damage and tens of thousands of fatalities.","[-0.00547009 -0.01460934 -0.01455548 ... -0.00087774  0.00707577
 -0.02512537]",0.11691297393994737
" – The Turkish Government was criticized on social media for allegedly trying to cover up the fact that there were not two, but three mainshocks above Mw 7. However, professor Hasan Sözbilir, Director of Dokuz Eylül University (DEU) Earthquake Research and Application Center, told Anadolu Agency that there were only 2 mainshocks reaching above Mw 7 between 6 and 17 February 2023, but of the smaller quakes, there was one that reached Mw 6.7. Additional allegations were made when the death toll in Turkey was at 41,000, could in fact be up to five times higher. The Justice and Development Party (AKP) government was accused of manipulating the death toll of the earthquakes to mask the scale of the disaster amid growing criticism due to what many say was a delayed and ineffective response to the tragedy.The collapse of many newly constructed buildings caused public anger and doubts about the Turkish construction and contracting industry following seismic codes. After the 1999 İzmit earthquake, new building codes were enacted to make buildings more resilient to earthquakes. The quality of the concrete is often a factor in collapse, especially in older buildings, but the engineering and design of newer high rise buildings, and improper placement of support columns and beams, may contribute to collapse. The building codes, last updated in 2018, required quality standards in engineering design, construction and material. There were complaints that the building codes were poorly enforced.After the earthquake, Erdoğan had claimed ""98 percent of the destroyed buildings were built in before 1999"" and described it ""as the indicator of an improvement in the quality of building codes and enforcement"". Erdoğan's claim was criticized by civil engineer and earthquake engineering academic Haluk Sucuoğlu, stating that field observations and more than half of the buildings in earthquake-affected areas being built after 2000 making Erdoğan's claims unlikely, though accepting that concrete data on the destroyed buildings do not exist yet. The comparison of historical satellite images with those taken after the earthquake, especially of those showing the destruction in the newly built area of western Kahramanmaraş, were used to dispute Erdoğan's claim.In Adıyaman, the minister of transport and infrastructure, Adil Karaismailoğlu, and governor, Mahmut Çuhadar, were met with protests by locals. The state car of the governor was also kicked by protesters. Turkish engineers previously warned that cities could become 'graveyards' with building amnesty. Critics of President Erdoğan said contractors of housing projects were allowed to skip vital safety mandates which put residents at risk. Videos from several years ago showed President Erdoğan applauding housing projects which eventually collapsed. During a campaign stop in anticipation of the March 2019 local elections, he listed, among his government's top attainment, new housing in Kahramanmaras. President Erdoğan said ""We solved the problem of 144,156 citizens of Maras with zoning amnesty,"" In another video, he said ""We have solved the problems of 205,000 citizens of Hatay with zoning peace,""Before the 2018 general election, 3.1 million buildings were granted amnesty certificates, according to Istanbul Metropolitan Municipality Secretary General Assistant and city planner, Bugra Gokce. In the ten affected provinces, 294,165 certificates were granted; 59,247 in Adana; 10,629 in Adıyaman; 14,719 in Diyarbakır; 40,224 in Gaziantep; 56,464 in Hatay; 39,58 in Kahramanmaraş; 4,897 in Kilis; 22,299 in Malatya; 21,107 in Osmaniye; and 25,521 in Şanlıurfa. After a destructive earthquake struck İzmir in 2020, Asia Times said the Turkish government generated US$2 billion in profit since the latest zoning amnesty law was approved in May 2018. During that earthquake, there were 811,000 certificates linked to illegal construction in İzmir.The leader of the opposition in Parliament, Kemal Kılıçdaroğlu of the Republican People's Party (CHP), pinned responsibility for the scale of the disaster on President Erdoğan. He demanded from the CHP mayors not to back down from providing bread and blankets to people in need and reject bureaucratic blocking as they did during the COVID-19 lockdown. It has also been reported that some donations from relief organizations arriving at the Adana airport were relabeled as assistance by the Disaster and Emergency Management Presidency (AFAD) or also the governing AKP. Questions also arose as to how an ""earthquake tax"" (officially ""special communications tax"") levied by the Turkish government in the wake of the 1999 earthquake, estimated to have reached 88bn lira ($4.6bn; £3.8bn) and meant to have been spent on disaster prevention and the development of emergency services, were spent, given how the government has never given a public explanation.Some Kurdish and Alevi residents alleged discrimination and neglect in the government's recovery efforts. The pro-Kurdish Peoples' Democratic Party (HDP) accused Turkish authorities of preventing equal distribution of aid and favoring areas inhabited majorly by people loyal to the governing AKP.","[ 0.00013464  0.00301754 -0.00565023 ... -0.00107538 -0.00514276
 -0.02888121]",0.12494821276564605
" – Mahase, Elisabeth (7 February 2023). ""Death toll rises after two earthquakes hit Turkey and Syria in 12 hours"" (PDF). BMJ. 380 (380): 304. doi:10.1136/bmj.p304. PMID 36750243. S2CID 256630400.","[-0.01424266 -0.01837331 -0.00674247 ... -0.00109636 -0.00409711
 -0.02802935]",0.1330360250916336
" – Erdik, M., Tümsa, M. B. D., Pınar, A., Altunel, E., and Zülfikar, A. C. 2023, A preliminary report on the February 6, 2023 Earthquake in Türkiye, doi:10.32858/temblor.297","[-0.00853831 -0.03656062 -0.01789671 ...  0.0102711   0.01513218
 -0.02214272]",0.1332329280401089
" – On 20 February, a Mww 6.3 aftershock struck near Antakya, causing additional buildings to collapse in Samandağ and further damage in Antakya. Eight people died in Antakya, Defne and Samandağ. At least 562 were injured including 18 in serious condition who received immediate medical attention before being taken to Adana and Dörtyol. AFAD warned residents to stay away from the coast as there was potential for a tsunami of up to 50 cm (20 in). The mayor of Hatay said several people were trapped under debris. Among the structures damaged in Turkey included a bridge and an empty three-story building in İskenderun that collapsed. In Syria, five people died during stampedes and panic across several governates and at least 500 people were injured. The White Helmets said people in Aleppo and Idlib were injured by collapsed buildings. Some residents in Jinderis were injured after leaping off buildings. In northwestern Syria, damaged and abandoned buildings collapsed without casualties. Shaking was felt in Lebanon, Egypt and Jordan.A Mww 5.2 aftershock occurred on 27 February, near Yeşilyurt. It collapsed about 30 buildings in the town. Two people died and 140 others were injured; 12 in serious condition. One fatality and four injuries were attributed to a factory collapse in Kahramanmaraş Province.","[-0.00836327 -0.00246706 -0.01186114 ... -0.00440841 -0.00792346
 -0.02287015]",0.1404463484206836
" – Earthquake Department, ed. (9 February 2023). 06 Şubat 2023 Pazarcik (Kahramanmaraş) Mw 7.7 Elbistan (Kahramanmaraş) Mw 7.6 Depremlerine İlişkin Ön Değerlendirme Raporu [Preliminary Evaluation Report on the 06 February 2023 Pazarcik (Kahramanmaraş) Mw 7.7 and Elbistan (Kahramanmaraş) Mw 7.6 Earthquakes] (PDF) (Report) (in Turkish). AFAD.","[-0.00851516 -0.01721865 -0.00969222 ...  0.01721865  0.00721704
 -0.01357314]",0.14167404392912952
" – Utkucu, Murat; Uzunca, Fatih; Durmuş, Hatice; Nalbant, Suleyman (22 February 2023). The 2023 Pazarcik (Mw=7.8) and Elbi̇stan (Mw=7.6), Kahramanmaraş earthquakes in the southeast Türki̇ye (PDF) (Report). Sakarya University. Retrieved 1 March 2023.","[-0.00768549 -0.02650737 -0.00110762 ...  0.01057957  0.0141061
 -0.00750675]",0.1419510434624791
" – The first and largest earthquake in the sequence struck at 01:17 UTC. The United States Geological Survey (USGS) and Global Centroid Moment Tensor (GCMT) measured it at moment magnitude Mww 7.8 and Mw 7.8, respectively. GEOSCOPE reported a magnitude of Mw 8.0 and Kandilli Observatory (KOERI) reported a magnitude of Mw 7.7 and ML 7.4. It had an epicenter at 37.166°N 37.032°E﻿ / 37.166; 37.032, 34 km (21 mi) west of Gaziantep in Gaziantep Province, which is near the border with Syria. The earthquake hypocenter was at a depth of 10.0 km (6 mi) according to USGS and 5 km (3 mi) according to KOERI. The shock had a focal mechanism corresponding to strike-slip faulting.It is one of the strongest ever recorded in Turkey, equivalent in magnitude to the 1939 Erzincan earthquake (Mw 7.8). These earthquakes are surpassed only by the larger estimates for the 1668 North Anatolia earthquake. Globally it was the strongest recorded since August 2021.","[ 0.00158791 -0.01296306 -0.00830009 ...  0.00541904  0.00794704
 -0.02569964]",0.1420275821933603
